Personnel_No,Personnel_Subarea,Personnel_Area,Cost_Ctr,Cost_Center,Gender_Key,Job_Position,Entry,Leaving_date/Today,Birth_date,length_of_service,Age,Status
60000282,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Temporary / Contingent,07-03-2017,03-04-2017,,0,117,Terminated
60000283,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Temporary / Contingent,02-05-2017,16-05-2017,,0,117,Terminated
60000294,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Temporary / Contingent,04-11-2016,01-01-2017,,0,117,Terminated
60000308,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Temporary / Contingent,24-05-2016,17-01-2017,,0,117,Terminated
60000320,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12170,MV Tire Assembly PLT,Male,Tire Builder Operator MVN-222,11-04-2016,10-05-2017,25-07-1980,1,37,Terminated
60000322,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12030,MV Mixing,Male,Mixer Machine Operator MVN-220,11-07-2016,07-02-2017,28-07-1995,0,22,Terminated
60000353,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Manager Technical Project,19-01-2016,12-05-2017,17-07-1969,1,48,Terminated
60000365,Rochester NH,US-NH-Rochester-CT Tpol,2301208120,Warehouse - Var,Male,Material Handler SOM-004,17-10-2016,28-04-2017,04-03-1968,0,49,Terminated
60000397,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,,19-01-2016,25-01-2017,,1,117,Terminated
60000408,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,21-02-2017,18-04-2017,,0,117,Terminated
60000412,Newport News,US-VA-Newport News-C Auto Sys,214-941,Components Machining,Male,Production Machinist,29-01-2016,30-05-2017,08-09-1993,1,24,Terminated
60000419,Allentown,US-PA-Allentown-CAS Inc.,200-5015,Additional Warehouse,Male,Warehouse,01-02-2016,21-07-2017,06-11-1990,1,26,Terminated
60000436,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,,19-01-2016,03-08-2017,,1,117,Terminated
60000441,Somersworth,US-NH-Somersworth-CT Tpol,2301202030,Ext Mat Prep Labor A,Male,Operator SOM-001,31-10-2016,04-05-2017,17-02-1990,0,27,Terminated
60000444,Somersworth,US-NH-Somersworth-CT Tpol,2301202050,Ext Asse. Labor AIS,Male,Assembler SOM-001,26-09-2016,17-03-2017,19-10-1992,0,25,Terminated
60000449,Somersworth,US-NH-Somersworth-CT Tpol,2301202020,Ext Autocl Labor A,Male,Operator SOM-005,10-07-2016,24-08-2017,18-11-1995,1,21,Terminated
60000464,Sumter,US-SC-Sumter-CTNA Prod,71030,SP & Supplies WH,Male,Crew Member SMT-002,25-01-2016,06-04-2017,22-10-1982,1,35,Terminated
60000479,AH-S.PT-Holding,US-MI-AH-South-CAS,205-P633,P FEM FM AM Purc ABH,Male,Associate Buyer,01-02-2016,03-03-2017,12-01-1992,1,25,Terminated
60000489,Newport News,US-VA-Newport News-C Auto Sys,214-K061,XL3 Fuel Rail,Male,Production Associate,05-02-2016,19-04-2017,16-06-1989,1,28,Terminated
60000509,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Machine Operator,25-05-2016,02-05-2017,20-03-1989,0,28,Terminated
60000548,Barnsville,US-GA-Barnsville-CTNA Aldora,18390,AD Direct Cabling,Male,Temporary / Contingent,06-01-2016,13-02-2017,04-06-1979,1,38,Terminated
60000549,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,08-02-2016,30-01-2017,,0,117,Terminated
60000552,Barnsville,US-GA-Barnsville-CTNA Aldora,18390,AD Direct Cabling,Male,Cabler ALD-003,30-07-2012,09-07-2017,18-02-1989,4,28,Terminated
60000554,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,24-04-2017,31-05-2017,,0,117,Terminated
60000569,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,05-02-2016,13-02-2017,,1,117,Terminated
60000574,Morganton,US-NC-Morganton-CAS Inc.,161150,Bracketing,unknown,Temporary / Contingent,11-02-2016,13-02-2017,,1,117,Terminated
60000582,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Temporary / Contingent,10-01-2017,11-04-2017,,0,117,Terminated
60000591,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Female,,18-01-2016,17-01-2017,25-10-1972,0,45,Terminated
60000601,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12170,MV Tire Assembly PLT,Female,Tire Builder Operator MVN-222,25-07-2016,25-04-2017,17-04-1991,0,26,Terminated
60000603,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12620,MV Qualty Inspection,Male,,27-01-2016,26-01-2017,19-03-1981,0,36,Terminated
60000615,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22060,MV CF Tire Assem PLT,Male,Tire Builder Operator MVN-222,06-06-2016,08-03-2017,16-02-1983,0,34,Terminated
60000618,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12160,MV PII Trk Bead Assm,Male,,30-11-2016,09-07-2017,19-05-1997,0,20,Terminated
60000633,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Assembler,13-07-2016,04-06-2017,22-08-1990,0,27,Terminated
60000647,Troy CA,US-MI-Troy-CAS Inc.,205-J143,I BS RD BCM2 SE,Female,Associate Systems Engineer,15-02-2016,02-06-2017,30-12-1989,1,27,Terminated
60000649,AH-North CAS,US-MI-AH-North-CAS Inc.,164473,CONTROL STRATEGIES,Male,Intern/Student Program - Technical,15-02-2016,05-05-2017,11-11-1995,1,21,Terminated
60000658,Newport News,US-VA-Newport News-C Auto Sys,214-218,PL Injector IE,Male,Intern/Student Program - Technical,15-02-2016,15-08-2017,23-06-1989,1,28,Terminated
60000660,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,999HR,HR Dummy-CoCd515 Emp,Male,Intern/Student Program - Non Technical,22-02-2016,01-06-2017,25-01-1995,1,22,Terminated
60000676,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,24-01-2017,15-03-2017,,0,117,Terminated
60000698,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,,02-02-2016,17-01-2017,,0,117,Terminated
60000702,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Manufacturing Associate I,10-04-2017,02-08-2017,11-03-1993,0,24,Terminated
60000705,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Female,Manufacturing Associate I,26-05-2016,22-05-2017,22-08-1992,0,25,Terminated
60000716,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,18-07-2017,02-08-2017,,0,117,Terminated
60000745,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,19-02-2016,19-02-2017,06-07-1966,1,51,Terminated
60000754,Somersworth,US-NH-Somersworth-CT Tpol,2301258210,QC Inspection,Female,Quality Inspector I SOM-003,14-02-2016,23-03-2017,13-03-1972,1,45,Terminated
60000770,Somersworth,US-NH-Somersworth-CT Tpol,2301203050,EBA2 Crush ring ass.,Male,Operator SOM-002,08-02-2016,29-01-2017,18-03-1980,0,37,Terminated
60000793,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Material Handler,13-07-2016,10-05-2017,02-09-1991,0,26,Terminated
60000800,Sumter,US-SC-Sumter-CTNA Prod,80670,Curing,Male,Crew Member SMT-002,22-02-2016,16-01-2017,04-10-1996,0,21,Terminated
60000810,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,22-02-2016,22-02-2017,22-01-1973,1,44,Terminated
60000842,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,25-04-2017,06-06-2017,,0,117,Terminated
60000853,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,Temporary / Contingent,06-06-2017,05-07-2017,,0,117,Terminated
60000872,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Production Associate,25-02-2016,27-06-2017,25-10-1992,1,25,Terminated
60000879,Newport News,US-VA-Newport News-C Auto Sys,214-K061,XL3 Fuel Rail,Female,Production Associate,25-02-2016,12-09-2017,15-04-1994,1,23,Terminated
60000912,Morganton,US-NC-Morganton-CAS Inc.,161148,Pre Assembly,unknown,,09-12-2016,27-02-2017,,0,117,Terminated
60000913,Morganton,US-NC-Morganton-CAS Inc.,161158,Fin. Ably MK25E MOD7,unknown,Temporary / Contingent,26-02-2016,06-03-2017,,1,117,Terminated
60000914,Morganton,US-NC-Morganton-CAS Inc.,161161,MK25e Valves- SO,unknown,Temporary / Contingent,26-02-2016,07-02-2017,,0,117,Terminated
60000921,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,26-02-2016,06-03-2017,,1,117,Terminated
60000929,AH-North CAS,US-MI-AH-North-CAS Inc.,2264501,ADAS Quality,Male,Engineer Technician III,29-02-2016,31-08-2017,26-10-1968,1,49,Terminated
60000955,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,Temporary / Contingent,23-02-2016,08-03-2017,,1,117,Terminated
60000958,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,Temporary / Contingent,23-02-2016,06-03-2017,,1,117,Terminated
60000970,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Female,Production Associate,04-03-2016,10-05-2017,28-06-1974,1,43,Terminated
60000975,Newport News,US-VA-Newport News-C Auto Sys,214-966,CR3 Deka VII,Female,Cell Operate and Setup,04-03-2016,20-08-2017,18-11-1994,1,22,Terminated
60000981,Troy CA,US-MI-Troy-CAS Inc.,205-B875,Honda BD,Female,Project Engineer,15-03-2013,31-08-2017,19-09-1989,4,28,Terminated
60000983,Troy CA,US-MI-Troy-CAS Inc.,205-B974,I BS RD CF MD4,Male,Mechanical Engineer,01-10-2012,31-08-2017,15-10-1988,4,29,Terminated
60000990,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12270,MV Truck F.F.,Male,,07-03-2016,05-02-2017,02-12-1964,0,52,Terminated
60001000,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,29-02-2016,17-02-2017,,0,117,Terminated
60001001,Morganton,US-NC-Morganton-CAS Inc.,161150,Bracketing,unknown,Temporary / Contingent,06-03-2016,23-01-2017,,0,117,Terminated
60001004,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,05-03-2016,03-03-2017,,0,117,Terminated
60001013,Morganton,US-NC-Morganton-CAS Inc.,761175,EAS Production,unknown,Temporary / Contingent,05-03-2016,03-03-2017,,0,117,Terminated
60001033,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Machine Operator,09-05-2016,13-07-2017,17-01-1964,1,53,Terminated
60001048,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12730,MV Gen Maint,Male,Electrician MVN-132,14-11-2016,27-05-2017,08-02-1994,0,23,Terminated
60001054,Somersworth,US-NH-Somersworth-CT Tpol,2301202050,Ext Asse. Labor AIS,Female,Tooling Administrator,17-10-2016,28-07-2017,07-05-1969,0,48,Terminated
60001068,Somersworth,US-NH-Somersworth-CT Tpol,2301202020,Ext Autocl Labor A,Male,Operator SOM-005,09-01-2017,23-08-2017,17-12-1986,0,30,Terminated
60001071,Somersworth,US-NH-Somersworth-CT Tpol,2301202050,Ext Asse. Labor AIS,Male,Assembler SOM-001,18-12-2016,03-03-2017,05-04-1993,0,24,Terminated
60001079,Somersworth,US-NH-Somersworth-CT Tpol,2301203070,BM Material Handler,Male,Temporary / Contingent,26-02-2016,26-02-2017,18-03-1980,1,37,Terminated
60001109,Seguin CAS,US-TX-Seguin-CAS Inc.,,,unknown,,06-05-2017,02-06-2017,,0,117,Terminated
60001116,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,01-03-2016,06-03-2017,,1,117,Terminated
60001120,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,24-01-2017,20-04-2017,,0,117,Terminated
60001121,Seguin CAS,US-TX-Seguin-CAS Inc.,54-0700,Bldg/Facility COMMON,unknown,Temporary / Contingent,01-03-2016,04-04-2017,,1,117,Terminated
60001125,Morganton,US-NC-Morganton-CAS Inc.,161157,Fin. Ably MK25E MOD6,unknown,Temporary / Contingent,11-03-2016,27-01-2017,,0,117,Terminated
60001128,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,,09-03-2016,13-03-2017,,1,117,Terminated
60001143,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12260,MV PII Truck Curing,Male,Press Operator MVN-112,14-03-2016,30-03-2017,21-06-1991,1,26,Terminated
60001145,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12730,MV Gen Maint,Male,Maintenance Technician MVN-131,14-03-2016,01-03-2017,01-10-1994,0,23,Terminated
60001149,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,07-03-2016,23-03-2017,,1,117,Terminated
60001156,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Male,Lead Assembly Setter,25-05-2016,06-06-2017,10-01-1988,1,29,Terminated
60001159,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Female,Plating Operator,15-08-2016,02-05-2017,18-11-1991,0,25,Terminated
60001180,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,06-12-2016,07-02-2017,,0,117,Terminated
60001183,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,01-05-2017,26-05-2017,27-09-1973,0,44,Terminated
60001191,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,28-03-2017,24-09-2017,,0,117,Terminated
60001201,Somersworth,US-NH-Somersworth-CT Tpol,2301203040,Weld-Perif/Frimo/KLN,Male,Operator SOM-002,30-10-2016,21-07-2017,08-08-1990,0,27,Terminated
60001205,Somersworth,US-NH-Somersworth-CT Tpol,2301202020,Ext Autocl Labor A,unknown,Temporary / Contingent,06-03-2016,01-04-2017,01-01-1970,1,47,Terminated
60001209,Somersworth,US-NH-Somersworth-CT Tpol,2301203050,EBA2 Crush ring ass.,unknown,Temporary / Contingent,07-03-2016,24-02-2017,01-01-1970,0,47,Terminated
60001210,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,22080,MV CF Pass F.F.,Male,Repair Worker  MVN-211,14-03-2016,16-07-2017,12-07-1969,1,48,Terminated
60001211,Somersworth,US-NH-Somersworth-CT Tpol,2301202050,Ext Asse. Labor AIS,Male,Assembler SOM-001,25-09-2016,18-08-2017,21-12-1988,0,28,Terminated
60001221,Morganton,US-NC-Morganton-CAS Inc.,161148,Pre Assembly,unknown,,13-03-2016,01-02-2017,,0,117,Terminated
60001222,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,,13-03-2016,24-02-2017,,0,117,Terminated
60001250,Culpeper,US-VA-Culpeper-CAS Inc.,163144,MKxxE Machining,Male,Temporary / Contingent,01-03-2016,10-02-2017,10-11-1996,0,20,Terminated
60001268,Sumter,US-SC-Sumter-CTNA Prod,70610,Mixing,Male,Material Handler SMT-002,21-03-2016,30-08-2017,30-12-1963,1,53,Terminated
60001270,Morganton,US-NC-Morganton-CAS Inc.,161158,Fin. Ably MK25E MOD7,Male,Manufacturing Technician I,15-03-2016,27-04-2017,21-04-1987,1,30,Terminated
60001276,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,,21-03-2016,06-05-2017,16-01-1976,1,41,Terminated
60001278,Fletcher,US-NC-Fletcher-CAS Inc.,1862301,MANUFACTURING ENG,Female,Intern/Student Program - Non Technical,17-03-2016,18-08-2017,22-02-1996,1,21,Terminated
60001281,Newport News,US-VA-Newport News-C Auto Sys,214-219,Plant IE,Male,Intern/Student Program - Technical,14-09-2016,13-03-2017,03-01-1991,0,26,Terminated
60001288,Sumter,US-SC-Sumter-CTNA Prod,80640,Cutting,Male,Cutting/Slitting Machine Operator SMT-00,21-03-2016,18-08-2017,06-02-1982,1,35,Terminated
60001310,Sumter,US-SC-Sumter-CTNA Prod,70610,Mixing,Male,Material Handler SMT-002,07-03-2016,17-07-2017,23-08-1990,1,27,Terminated
60001316,Morganton,US-NC-Morganton-CAS Inc.,161408,Receiving Morganton,unknown,,14-06-2017,30-06-2017,,0,117,Terminated
60001334,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,18-07-2017,18-08-2017,,0,117,Terminated
60001338,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,15-03-2016,27-03-2017,,1,117,Terminated
60001339,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Manufacturing Associate I,26-07-2016,07-03-2017,04-02-1995,0,22,Terminated
60001349,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,02-05-2017,09-05-2017,,0,117,Terminated
60001353,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,unknown,Temporary / Contingent,15-03-2016,28-02-2017,,0,117,Terminated
60001371,"SC, Fort Mill",US-All-Best Drive,98000,BD HQ,Female,Retail Accounting Assocaite,28-03-2016,20-07-2017,07-05-1979,1,38,Terminated
60001373,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,21-03-2016,26-02-2017,,0,117,Terminated
60001378,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,Female,CNC Set-Up/Operator,15-08-2016,25-09-2017,30-11-1991,1,25,Terminated
60001380,Morganton,US-NC-Morganton-CAS Inc.,161159,Fin. Ably MK100 MOD9,unknown,Temporary / Contingent,23-03-2016,28-03-2017,,1,117,Terminated
60001384,Morganton,US-NC-Morganton-CAS Inc.,161351,Quality Morganton,unknown,Temporary / Contingent,28-03-2016,07-04-2017,,1,117,Terminated
60001393,AH-North CAS,US-MI-AH-North-CAS Inc.,1764463,CES Interior,Male,Intern/Student Program - Technical,28-03-2016,07-07-2017,19-03-1995,1,22,Terminated
60001396,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,12250,MV Pass/LT F.F.,Male,Rework/Repair Operator Final Finish MVN-,28-03-2016,06-05-2017,18-07-1966,1,51,Terminated
60001421,Sumter,US-SC-Sumter-CTNA Prod,80680,Final Finishing,Female,Visual Inspector SMT-003,04-04-2016,08-09-2017,07-06-1978,1,39,Terminated
60001429,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,07-03-2017,21-08-2017,,0,117,Terminated
60001443,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,03-01-2017,17-01-2017,,0,117,Terminated
60001444,Sumter,US-SC-Sumter-CTNA Prod,70610,Mixing,Male,Chemical Weighing Operator SMT-002,04-04-2016,16-03-2017,02-03-1997,0,20,Terminated
60001451,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,999HR,HR Dummy-CoCd515 Emp,Female,Intern/Student Program - Non Technical,04-04-2016,21-04-2017,10-07-1995,1,22,Terminated
60001454,Sumter,US-SC-Sumter-CTNA Prod,80640,Cutting,Male,Cutting/Slitting Machine Operator SMT-00,04-04-2016,12-01-2017,03-11-1987,0,29,Terminated
60001455,Sumter,US-SC-Sumter-CTNA Prod,80660,Tire Building,Male,Tire Builder Operator SMT-004,04-04-2016,17-04-2017,06-07-1985,1,32,Terminated
60001458,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,29-03-2016,01-01-2017,,0,117,Terminated
60001464,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Manufacturing Associate I,22-09-2016,02-10-2017,16-06-1990,1,27,Terminated
60001467,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,29-03-2016,17-01-2017,,0,117,Terminated
60001468,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,unknown,Temporary / Contingent,28-03-2017,02-04-2017,,0,117,Terminated
60001469,Seguin CAS,US-TX-Seguin-CAS Inc.,54-1202,Prodn Line Cost Coll,Male,Manufacturing Associate I,29-09-2016,07-03-2017,17-04-1995,0,22,Terminated
60001482,Seguin CAS,US-TX-Seguin-CAS Inc.,54-4362,COM Recv / Frt / Dut,Male,Material Handler I,26-07-2016,06-10-2017,08-12-1967,1,49,Terminated
60001492,Newport News,US-VA-Newport News-C Auto Sys,214-K058,GHPP,Male,Production Associate,04-04-2016,09-01-2017,25-04-1986,0,31,Terminated
60001499,Sumter,US-SC-Sumter-CTNA Prod,80640,Cutting,Male,Cutting/Slitting Machine Operator SMT-00,04-04-2016,01-06-2017,13-10-1988,1,29,Terminated
60001502,Fletcher,US-NC-Fletcher-CAS Inc.,1862177,PRODUCTION ADMIN,unknown,Temporary / Contingent,05-06-2017,21-06-2017,,0,117,Terminated
60001508,Sumter,US-SC-Sumter-CTNA Prod,80670,Curing,Male,Crew Member SMT-002,04-04-2016,26-06-2017,30-01-1995,1,22,Terminated
